Cause,Type,Year,Data Redundancy, Total Deaths , Source , Page at Source , Source URL ,Teks,Teks2,Catatan
AIDS,Bencana Non Alam dan Penyakit,2009,1, 331 , Profil Kesehatan Indonesia Tahun 2011 ,148,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,Jumlah Korban Jiwa Akibat AIDS di RI Thn 2009 :: 331,AIDS Tahun 2009,
AIDS,Bencana Non Alam dan Penyakit,2010,1, 979 , Profil Kesehatan Indonesia Tahun 2011 ,148,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,Jumlah Korban Jiwa Akibat AIDS di RI Thn 2010 :: 979,AIDS Tahun 2010,
AIDS,Bencana Non Alam dan Penyakit,2011,1, 597 , Profil Kesehatan Indonesia Tahun 2011 ,148,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,Jumlah Korban Jiwa Akibat AIDS di RI Thn 2011 :: 597,AIDS Tahun 2011,
AIDS,Bencana Non Alam dan Penyakit,2019,1, 614 , Profil Kesehatan Indonesia Tahun 2019 ,Lampiran 55.d,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf,Jumlah Korban Jiwa Akibat AIDS di RI Thn 2019 :: 614,AIDS Tahun 2019,
AIDS,Bencana Non Alam dan Penyakit,2020,1, 665 , Profil Kesehatan Indonesia Tahun 2020 ,Lampiran 55.d,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2020.pdf,Jumlah Korban Jiwa Akibat AIDS di RI Thn 2020 :: 665,AIDS Tahun 2020,
Aksi Teror dan Sabotase,Bencana Sosial,2015,1, -   , Profil Kesehatan Indonesia Tahun 2015 ,Lampiran 6.28,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2015.pdf,Jumlah Korban Jiwa Akibat Aksi Teror dan Sabotase di RI Thn 2015 :: 0,Aksi Teror dan Sabotase Tahun 2015,
Aksi Teror dan Sabotase,Bencana Sosial,2016,1, 13 , Profil Kesehatan Indonesia Tahun 2016 ,Lampiran 6.37,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2016.pdf,Jumlah Korban Jiwa Akibat Aksi Teror dan Sabotase di RI Thn 2016 :: 13,Aksi Teror dan Sabotase Tahun 2016,
Aksi Teror dan Sabotase,Bencana Sosial,2017,1, -   , Profil Kesehatan Indonesia Tahun 2017 ,Lampiran 6.43,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-tahun-2017.pdf,Jumlah Korban Jiwa Akibat Aksi Teror dan Sabotase di RI Thn 2017 :: 0,Aksi Teror dan Sabotase Tahun 2017,
Aksi Teror dan Sabotase,Bencana Sosial,2018,1, 18 , Profil Kesehatan Indonesia Tahun 2018 ,Lampiran 6.49,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Aksi Teror dan Sabotase di RI Thn 2018 :: 18,Aksi Teror dan Sabotase Tahun 2018,
Aksi Teror dan Sabotase,Bencana Sosial,2019,1, 3 , Profil Kesehatan Indonesia Tahun 2019 ,Lampiran 63.c,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf,Jumlah Korban Jiwa Akibat Aksi Teror dan Sabotase di RI Thn 2019 :: 3,Aksi Teror dan Sabotase Tahun 2019,
Aksi Teror dan Sabotase,Bencana Sosial,2020,1, 4 , Profil Kesehatan Indonesia Tahun 2020 ,191,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2020.pdf,Jumlah Korban Jiwa Akibat Aksi Teror dan Sabotase di RI Thn 2020 :: 4,Aksi Teror dan Sabotase Tahun 2020,
Angin kencang,Bencana Alam,2008,1, 3 , Profil Kesehatan Indonesia Tahun 2008 ,Lampiran 4.31,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Jumlah Korban Jiwa Akibat Angin kencang di RI Thn 2008 :: 3,Angin kencang Tahun 2008,
Angin Puting Beliung,Bencana Alam,2008,1, 13 , Profil Kesehatan Indonesia Tahun 2008 ,Lampiran 4.31,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Jumlah Korban Jiwa Akibat Angin Puting Beliung di RI Thn 2008 :: 13,Angin Puting Beliung Tahun 2008,
Angin Puting Beliung,Bencana Alam,2015,1, 37 , Profil Kesehatan Indonesia Tahun 2015 ,Lampiran 6.28,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2015.pdf,Jumlah Korban Jiwa Akibat Angin Puting Beliung di RI Thn 2015 :: 37,Angin Puting Beliung Tahun 2015,
Angin Puting Beliung,Bencana Alam,2016,1, 20 , Profil Kesehatan Indonesia Tahun 2016 ,Lampiran 6.37,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2016.pdf,Jumlah Korban Jiwa Akibat Angin Puting Beliung di RI Thn 2016 :: 20,Angin Puting Beliung Tahun 2016,
Angin Puting Beliung,Bencana Alam,2017,1, -   , Profil Kesehatan Indonesia Tahun 2017 ,Lampiran 6.43,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-tahun-2017.pdf,Jumlah Korban Jiwa Akibat Angin Puting Beliung di RI Thn 2017 :: 0,Angin Puting Beliung Tahun 2017,
Angin Puting Beliung,Bencana Alam,2018,1, 10 , Profil Kesehatan Indonesia Tahun 2018 ,Lampiran 6.49,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Angin Puting Beliung di RI Thn 2018 :: 10,Angin Puting Beliung Tahun 2018,
Angin Puting Beliung,Bencana Alam,2019,1, 4 , Profil Kesehatan Indonesia Tahun 2019 ,Lampiran 63.c,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf,Jumlah Korban Jiwa Akibat Angin Puting Beliung di RI Thn 2019 :: 4,Angin Puting Beliung Tahun 2019,
Angin Puting Beliung,Bencana Alam,2020,1, 12 , Profil Kesehatan Indonesia Tahun 2020 ,190,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2020.pdf,Jumlah Korban Jiwa Akibat Angin Puting Beliung di RI Thn 2020 :: 12,Angin Puting Beliung Tahun 2020,
Angin Siklon Tropis,Bencana Alam,2010,1, 10 , Profil Kesehatan Indonesia Tahun 2010 ,Lampiran 4.42,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf,Jumlah Korban Jiwa Akibat Angin Siklon Tropis di RI Thn 2010 :: 10,Angin Siklon Tropis Tahun 2010,
Angin Siklon Tropis,Bencana Alam,2011,1, 4 , Profil Kesehatan Indonesia Tahun 2011 ,Lampiran 3.40,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,Jumlah Korban Jiwa Akibat Angin Siklon Tropis di RI Thn 2011 :: 4,Angin Siklon Tropis Tahun 2011,
Angin Siklon Tropis,Bencana Alam,2012,1, 23 , Profil Kesehatan Indonesia Tahun 2012 ,Lampiran 3.38,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2012.pdf,Jumlah Korban Jiwa Akibat Angin Siklon Tropis di RI Thn 2012 :: 23,Angin Siklon Tropis Tahun 2012,
Angin siklon tropis (angin kencang dan angin puting beliung),Bencana Alam,2009,1, 4 , Profil Kesehatan Indonesia Tahun 2009 ,Lampiran 4.27,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf,Jumlah Korban Jiwa Akibat Angin siklon tropis (angin kencang dan angin puting beliung) di RI Thn 2009 :: 4,Angin siklon tropis (angin kencang dan angin puting beliung) Tahun 2009,
Angin Topan,Bencana Alam,2005,1, -   , Profil Kesehatan Indonesia Tahun 2005 ,Lampiran 4.24,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Jumlah Korban Jiwa Akibat Angin Topan di RI Thn 2005 :: 0,Angin Topan Tahun 2005,
Angin Topan / Angin Puting Beliung / Angin Puyuh,Bencana Alam,2006,1, 9 , Profil Kesehatan Indonesia Tahun 2006 ,Lampiran 4.25,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf,Jumlah Korban Jiwa Akibat Angin Topan / Angin Puting Beliung / Angin Puyuh di RI Thn 2006 :: 9,Angin Topan / Angin Puting Beliung / Angin Puyuh Tahun 2006,
Angin Topan / Angin Puting Beliung / Angin Puyuh,Bencana Alam,2007,1, 10 , Profil Kesehatan Indonesia Tahun 2007 ,Lampiran 4.27,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Jumlah Korban Jiwa Akibat Angin Topan / Angin Puting Beliung / Angin Puyuh di RI Thn 2007 :: 10,Angin Topan / Angin Puting Beliung / Angin Puyuh Tahun 2007,
Antraks,Bencana Non Alam dan Penyakit,2000,1, -   , Profil Kesehatan Indonesia Tahun 2004 ,39,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Jumlah Korban Jiwa Akibat Antraks di RI Thn 2000 :: 0,Antraks Tahun 2000,
Antraks,Bencana Non Alam dan Penyakit,2001,1, 2 , Profil Kesehatan Indonesia Tahun 2004 ,39,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Jumlah Korban Jiwa Akibat Antraks di RI Thn 2001 :: 2,Antraks Tahun 2001,
Antraks,Bencana Non Alam dan Penyakit,2002,1, 8 , Profil Kesehatan Indonesia Tahun 2008 ,52,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Jumlah Korban Jiwa Akibat Antraks di RI Thn 2002 :: 8,Antraks Tahun 2002,
Antraks,Bencana Non Alam dan Penyakit,2003,1, 2 , Profil Kesehatan Indonesia Tahun 2008 ,52,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Jumlah Korban Jiwa Akibat Antraks di RI Thn 2003 :: 2,Antraks Tahun 2003,
Antraks,Bencana Non Alam dan Penyakit,2004,1, 8 , Profil Kesehatan Indonesia Tahun 2008 ,52,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Jumlah Korban Jiwa Akibat Antraks di RI Thn 2004 :: 8,Antraks Tahun 2004,
Antraks,Bencana Non Alam dan Penyakit,2005,1, 1 , Profil Kesehatan Indonesia Tahun 2010 ,69,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf,Jumlah Korban Jiwa Akibat Antraks di RI Thn 2005 :: 1,Antraks Tahun 2005,
Antraks,Bencana Non Alam dan Penyakit,2006,1, 1 , Profil Kesehatan Indonesia Tahun 2010 ,69,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf,Jumlah Korban Jiwa Akibat Antraks di RI Thn 2006 :: 1,Antraks Tahun 2006,
Antraks,Bencana Non Alam dan Penyakit,2007,1, 5 , Profil Kesehatan Indonesia Tahun 2010 ,69,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf,Jumlah Korban Jiwa Akibat Antraks di RI Thn 2007 :: 5,Antraks Tahun 2007,
Antraks,Bencana Non Alam dan Penyakit,2008,1, -   , Profil Kesehatan Indonesia Tahun 2015 ,200,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2015.pdf,Jumlah Korban Jiwa Akibat Antraks di RI Thn 2008 :: 0,Antraks Tahun 2008,
Antraks,Bencana Non Alam dan Penyakit,2009,1, 2 , Profil Kesehatan Indonesia Tahun 2016 ,194,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2016.pdf,Jumlah Korban Jiwa Akibat Antraks di RI Thn 2009 :: 2,Antraks Tahun 2009,
Antraks,Bencana Non Alam dan Penyakit,2010,1, 1 , Profil Kesehatan Indonesia Tahun 2016 ,194,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2016.pdf,Jumlah Korban Jiwa Akibat Antraks di RI Thn 2010 :: 1,Antraks Tahun 2010,
Antraks,Bencana Non Alam dan Penyakit,2011,1, -   , Profil Kesehatan Indonesia Tahun 2018 ,239,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Antraks di RI Thn 2011 :: 0,Antraks Tahun 2011,
Antraks,Bencana Non Alam dan Penyakit,2012,1, -   , Profil Kesehatan Indonesia Tahun 2018 ,239,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Antraks di RI Thn 2012 :: 0,Antraks Tahun 2012,
Antraks,Bencana Non Alam dan Penyakit,2013,1, 1 , Profil Kesehatan Indonesia Tahun 2018 ,239,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Antraks di RI Thn 2013 :: 1,Antraks Tahun 2013,
Antraks,Bencana Non Alam dan Penyakit,2014,1, 3 , Profil Kesehatan Indonesia Tahun 2018 ,239,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Antraks di RI Thn 2014 :: 3,Antraks Tahun 2014,
Antraks,Bencana Non Alam dan Penyakit,2015,1, -   , Profil Kesehatan Indonesia Tahun 2018 ,239,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Antraks di RI Thn 2015 :: 0,Antraks Tahun 2015,
Antraks,Bencana Non Alam dan Penyakit,2016,1, -   , Profil Kesehatan Indonesia Tahun 2018 ,239,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Antraks di RI Thn 2016 :: 0,Antraks Tahun 2016,
Antraks,Bencana Non Alam dan Penyakit,2017,1, 1 , Profil Kesehatan Indonesia Tahun 2018 ,239,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Antraks di RI Thn 2017 :: 1,Antraks Tahun 2017,
Antraks,Bencana Non Alam dan Penyakit,2018,1, -   , Profil Kesehatan Indonesia Tahun 2018 ,239,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Antraks di RI Thn 2018 :: 0,Antraks Tahun 2018,
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2004,1, -   , Profil Kesehatan Indonesia Tahun 2011 ,Lampiran 6.7,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,Jumlah Korban Jiwa Akibat Avian Influenza (Flu Burung) di RI Thn 2004 :: 0,Avian Influenza (Flu Burung) Tahun 2004,
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2005,1, 13 , Profil Kesehatan Indonesia Tahun 2018 ,240,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Avian Influenza (Flu Burung) di RI Thn 2005 :: 13,Avian Influenza (Flu Burung) Tahun 2005,
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2006,1, 45 , Profil Kesehatan Indonesia Tahun 2018 ,240,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Avian Influenza (Flu Burung) di RI Thn 2006 :: 45,Avian Influenza (Flu Burung) Tahun 2006,
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2007,1, 37 , Profil Kesehatan Indonesia Tahun 2018 ,240,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Avian Influenza (Flu Burung) di RI Thn 2007 :: 37,Avian Influenza (Flu Burung) Tahun 2007,
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2008,1, 20 , Profil Kesehatan Indonesia Tahun 2018 ,240,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Avian Influenza (Flu Burung) di RI Thn 2008 :: 20,Avian Influenza (Flu Burung) Tahun 2008,
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2009,1, 19 , Profil Kesehatan Indonesia Tahun 2018 ,240,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Avian Influenza (Flu Burung) di RI Thn 2009 :: 19,Avian Influenza (Flu Burung) Tahun 2009,
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2010,1, 7 , Profil Kesehatan Indonesia Tahun 2018 ,240,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Avian Influenza (Flu Burung) di RI Thn 2010 :: 7,Avian Influenza (Flu Burung) Tahun 2010,
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2011,1, 10 , Profil Kesehatan Indonesia Tahun 2018 ,240,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Avian Influenza (Flu Burung) di RI Thn 2011 :: 10,Avian Influenza (Flu Burung) Tahun 2011,
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2012,1, 9 , Profil Kesehatan Indonesia Tahun 2018 ,240,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Avian Influenza (Flu Burung) di RI Thn 2012 :: 9,Avian Influenza (Flu Burung) Tahun 2012,
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2013,1, 3 , Profil Kesehatan Indonesia Tahun 2018 ,240,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Avian Influenza (Flu Burung) di RI Thn 2013 :: 3,Avian Influenza (Flu Burung) Tahun 2013,
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2014,1, 2 , Profil Kesehatan Indonesia Tahun 2018 ,240,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Avian Influenza (Flu Burung) di RI Thn 2014 :: 2,Avian Influenza (Flu Burung) Tahun 2014,
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2015,1, 2 , Profil Kesehatan Indonesia Tahun 2018 ,240,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Avian Influenza (Flu Burung) di RI Thn 2015 :: 2,Avian Influenza (Flu Burung) Tahun 2015,
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2016,1, -   , Profil Kesehatan Indonesia Tahun 2018 ,240,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Avian Influenza (Flu Burung) di RI Thn 2016 :: 0,Avian Influenza (Flu Burung) Tahun 2016,
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2017,1, 1 , Profil Kesehatan Indonesia Tahun 2018 ,240,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Avian Influenza (Flu Burung) di RI Thn 2017 :: 1,Avian Influenza (Flu Burung) Tahun 2017,
Avian Influenza (Flu Burung),Bencana Non Alam dan Penyakit,2018,1, -   , Profil Kesehatan Indonesia Tahun 2018 ,240,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Jumlah Korban Jiwa Akibat Avian Influenza (Flu Burung) di RI Thn 2018 :: 0,Avian Influenza (Flu Burung) Tahun 2018,
Banjir,Bencana Alam,2005,1, 2 , Profil Kesehatan Indonesia Tahun 2005 ,Lampiran 4.24,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Jumlah Korban Jiwa Akibat Banjir di RI Thn 2005 :: 2,Banjir Tahun 2005,
Banjir,Bencana Alam,2006,1, 108 , Profil Kesehatan Indonesia Tahun 2006 ,Lampiran 4.25,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf,Jumlah Korban Jiwa Akibat Banjir di RI Thn 2006 :: 108,Banjir Tahun 2006,
Banjir,Bencana Alam,2007,1, 140 , Profil Kesehatan Indonesia Tahun 2007 ,Lampiran 4.27,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Jumlah Korban Jiwa Akibat Banjir di RI Thn 2007 :: 140,Banjir Tahun 2007,
